"Produit","Matiere","Reference","Masse volumique ρ","Épaisseur du stratifié par masse de fibre sèche t/w","Module d’élasticité E Ef1//Fibres","Module d’élasticité E Ef2⏊ Fibres","Module de cisaillement G","Coefficient de Poisson ν","contrainte de cisaillement interlaminaire τUIL","εut1","εut2","εuc1","εuc2","εuf1b","εuf2c","γu12","σut1","σut2","σuc1","σuc2","σuf1","σuf2","τ12"
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit T400",71,"-",85,85,29,"-","-",0.28,0.28,0.28,0.28,0.28,0.28,0.28,1.30,1.30,1.30,1.30,"-","-",0.81
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit T600",94,"-",152,152,40,"-","-",0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.72,1.72,1.72,1.72,"-","-",1.20
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit M60",65,"-",44,44,20,"-","-",0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.81,0.81,0.81,0.81,"-","-",0.68
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit M80",85,"-",72,72,29,"-","-",0.58,0.58,0.58,0.58,0.58,0.58,0.58,1.62,1.62,1.62,1.62,"-","-",1.09
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit M100",107.5,"-",109,109,41,"-","-",0.52,0.52,0.52,0.52,0.52,0.52,0.52,2.11,2.11,2.11,2.11,"-","-",1.45
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit A400",69,"-",56,56,22,"-","-",0.71,0.71,0.71,0.71,,0.71,0.71,1.18,1.18,1.18,1.18,"-","-",0.83
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit A450",81,"-",70,70,27,"-","-",0.69,0.69,0.69,0.69,0.69,0.69,0.69,1.38,1.38,1.38,1.38,"-","-",0.99
"âme structurelle","Styrene acrylonitrile (SAN)","Gurit A500",92,"-",84,84,32,"-","-",0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.58,1.58,1.58,1.58,"-","-",1.14
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC40",40,"-",68,68,15,"-","-",0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.71,0.71,0.71,0.71,"-","-",0.47
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC48",48,"-",71,71,16,"-","-",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.98,0.98,0.98,0.98,"-","-",0.52
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC60",60,"-",100,100,21,"-","-",0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.82,1.82,1.82,1.82,"-","-",0.79
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC80",80,"-",146,146,30,"-","-",0.19,0.19,0.19,0.19,0.19,0.19,0.19,2.74,2.74,2.74,2.74,"-","-",1.20
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC60HT",60,"-",97,97,21,"-","-",0.29,0.29,0.29,0.29,0.29,0.29,0.29,1.98,1.98,1.98,1.98,"-","-",0.86
"âme structurelle","Polyvinyl chloride (PVC)","Gurit PVC80HT",80,"-",138,138,29,"-","-",0.32,0.32,0.32,0.32,0.32,0.32,0.32,2.84,2.84,2.84,2.84,"-","-",1.26
"âme structurelle","Balsa","Gurit Balsaflex110",110,"-",2130,2130,103,"-","-","-","-","-","-","-","-","-","-","-",8.3,8.3,"-","-",2.0
